ReqType, MatchTime,  MatchPri, OpenPri, HighPri, LowPri, TolMatchQty
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110018215000, 10706, 10713, 10749, 10682, 59493
1, 110018215000, 10706, 10713, 10749, 10682, 59493
1, 110018350000, 10705, 10713, 10749, 10682, 59494
1, 110018395000, 10706, 10713, 10749, 10682, 59495
1, 110018395000, 10706, 10713, 10749, 10682, 59495
1, 110018395000, 10706, 10713, 10749, 10682, 59495
